Date,Open,High,Low,Close,Adj Close,Volume
2024-11-26,100.62,100.63,100.61,100.62,97.14,4586900
2024-11-25,100.60,100.61,100.60,100.60,97.12,6020200
2024-11-22,100.59,100.60,100.59,100.59,97.11,4343900
2024-11-21,100.57,100.57,100.56,100.56,97.09,4410700
2024-11-20,100.55,100.56,100.54,100.56,97.09,4133000
2024-11-19,100.54,100.54,100.53,100.54,97.07,4310900
2024-11-18,100.53,100.53,100.52,100.53,97.06,5567500
2024-11-15,100.51,100.52,100.51,100.52,97.05,5605100
2024-11-14,100.48,100.48,100.47,100.47,97.00,4353200
2024-11-13,100.46,100.47,100.45,100.47,97.00,4818000
2024-11-12,100.45,100.45,100.44,100.44,96.97,4283300
2024-11-11,100.43,100.44,100.43,100.43,96.96,4443700
2024-11-08,100.43,100.44,100.42,100.44,96.97,5624200
2024-11-07,100.38,100.39,100.38,100.39,96.92,6188100
2024-11-06,100.36,100.38,100.36,100.37,96.90,9470900
2024-11-05,100.36,100.37,100.35,100.37,96.90,4280500
2024-11-04,100.35,100.36,100.34,100.35,96.88,5041500
2024-11-01,100.34,100.34,100.33,100.34,96.87,13451800
2024-10-31,100.69,100.71,100.69,100.70,96.82,11321100
2024-10-30,100.69,100.70,100.68,100.68,96.80,7059200
2024-10-29,100.67,100.68,100.67,100.68,96.80,3449900
2024-10-28,100.67,100.67,100.66,100.66,96.78,3471300
2024-10-25,100.65,100.66,100.65,100.66,96.78,5386900
2024-10-24,100.62,100.62,100.61,100.62,96.74,3704500
2024-10-23,100.61,100.61,100.59,100.59,96.71,3927700
2024-10-22,100.59,100.59,100.58,100.59,96.71,3462800
2024-10-21,100.57,100.58,100.57,100.58,96.70,3940600
2024-10-18,100.57,100.57,100.55,100.56,96.69,3970200
2024-10-17,100.52,100.53,100.52,100.52,96.65,3575500
2024-10-16,100.51,100.52,100.51,100.52,96.65,3809900
2024-10-15,100.50,100.50,100.49,100.50,96.63,3567400
2024-10-14,100.48,100.49,100.48,100.48,96.61,3297100
2024-10-11,100.48,100.49,100.48,100.48,96.61,3778400
2024-10-10,100.44,100.44,100.43,100.44,96.57,3731100
2024-10-09,100.42,100.43,100.41,100.42,96.55,4024800
2024-10-08,100.40,100.41,100.40,100.40,96.53,3923100
2024-10-07,100.39,100.40,100.39,100.39,96.52,4792500
2024-10-04,100.39,100.39,100.38,100.38,96.51,4987100
2024-10-03,100.35,100.35,100.34,100.34,96.47,4066100
2024-10-02,100.34,100.34,100.33,100.33,96.46,5170300
2024-10-01,100.33,100.33,100.32,100.33,96.46,11569200
2024-09-30,100.73,100.74,100.72,100.72,96.43,9253100
2024-09-27,100.72,100.73,100.72,100.72,96.43,4945400
2024-09-26,100.68,100.69,100.68,100.68,96.39,4364400
2024-09-25,100.68,100.69,100.67,100.67,96.38,3372400
2024-09-24,100.66,100.67,100.66,100.67,96.38,3923500
2024-09-23,100.65,100.66,100.64,100.66,96.37,5220900
2024-09-20,100.64,100.64,100.63,100.63,96.34,4244800
2024-09-19,100.58,100.60,100.58,100.59,96.30,5165800
2024-09-18,100.56,100.58,100.56,100.57,96.28,4077700
2024-09-17,100.55,100.56,100.54,100.54,96.25,4452200
2024-09-16,100.52,100.54,100.52,100.54,96.25,3571100
2024-09-13,100.50,100.52,100.50,100.52,96.23,3465200
2024-09-12,100.47,100.47,100.46,100.46,96.18,3912400
2024-09-11,100.45,100.46,100.45,100.45,96.17,4500100
2024-09-10,100.45,100.45,100.43,100.45,96.17,4143900
2024-09-09,100.43,100.44,100.43,100.43,96.15,5397400
2024-09-06,100.42,100.42,100.41,100.42,96.14,5534600
2024-09-05,100.37,100.38,100.36,100.38,96.10,4833300
2024-09-04,100.36,100.36,100.35,100.35,96.07,7218300
2024-09-03,100.34,100.34,100.33,100.34,96.06,11846700
2024-08-30,100.74,100.75,100.74,100.74,96.02,8427400
2024-08-29,100.70,100.71,100.69,100.69,95.97,4537700
2024-08-28,100.69,100.69,100.68,100.68,95.96,3500800
2024-08-27,100.68,100.68,100.67,100.67,95.95,2818100
2024-08-26,100.66,100.67,100.66,100.66,95.94,3969000
2024-08-23,100.65,100.65,100.64,100.64,95.92,3549900
2024-08-22,100.61,100.61,100.60,100.60,95.89,3849100
2024-08-21,100.58,100.60,100.58,100.60,95.89,3936000
2024-08-20,100.58,100.58,100.57,100.57,95.86,3084200
2024-08-19,100.56,100.57,100.56,100.56,95.85,3930700
2024-08-16,100.55,100.55,100.54,100.55,95.84,3638900
2024-08-15,100.49,100.51,100.49,100.51,95.80,4217800
2024-08-14,100.49,100.50,100.48,100.50,95.79,4327700
2024-08-13,100.48,100.48,100.47,100.48,95.77,4782200
2024-08-12,100.46,100.47,100.45,100.46,95.75,3845400
2024-08-09,100.44,100.45,100.43,100.44,95.73,5548300
2024-08-08,100.40,100.41,100.39,100.41,95.71,3903300
2024-08-07,100.38,100.39,100.38,100.38,95.68,4611400
2024-08-06,100.36,100.38,100.36,100.38,95.68,5059100
2024-08-05,100.35,100.38,100.35,100.36,95.66,8712900
2024-08-02,100.34,100.35,100.33,100.35,95.65,7927400
2024-08-01,100.30,100.30,100.29,100.30,95.60,11015600
2024-07-31,100.72,100.73,100.72,100.72,95.57,7256900
2024-07-30,100.72,100.72,100.71,100.71,95.56,4559900
2024-07-29,100.70,100.71,100.70,100.71,95.56,3259000
2024-07-26,100.68,100.69,100.68,100.68,95.53,3172600
2024-07-25,100.65,100.65,100.64,100.65,95.50,3521700
2024-07-24,100.63,100.64,100.62,100.63,95.48,3474500
2024-07-23,100.62,100.63,100.61,100.62,95.47,2829200
2024-07-22,100.61,100.61,100.60,100.61,95.46,3386500
2024-07-19,100.59,100.59,100.58,100.59,95.45,2993600
2024-07-18,100.54,100.55,100.54,100.55,95.41,5291400
2024-07-17,100.53,100.54,100.52,100.53,95.39,3822100
2024-07-16,100.52,100.52,100.51,100.52,95.38,3622900
2024-07-15,100.51,100.51,100.50,100.50,95.36,3615100
2024-07-12,100.50,100.50,100.49,100.50,95.36,3369000
2024-07-11,100.44,100.45,100.44,100.45,95.31,4195600
2024-07-10,100.43,100.44,100.43,100.43,95.29,4062200
2024-07-09,100.42,100.43,100.41,100.41,95.27,4508000
2024-07-08,100.40,100.41,100.40,100.41,95.27,3263000
2024-07-05,100.38,100.39,100.38,100.39,95.26,3742000
2024-07-03,100.35,100.35,100.34,100.35,95.22,3986000
2024-07-02,100.32,100.32,100.31,100.32,95.19,5720900
2024-07-01,100.31,100.31,100.30,100.31,95.18,9965300
2024-06-28,100.71,100.72,100.71,100.71,95.14,7427800
2024-06-27,100.68,100.68,100.67,100.67,95.10,3349900
2024-06-26,100.66,100.67,100.66,100.66,95.10,4815500
2024-06-25,100.65,100.65,100.64,100.65,95.09,3561700
2024-06-24,100.64,100.64,100.63,100.63,95.07,3369500
2024-06-21,100.62,100.63,100.62,100.62,95.06,3460900
2024-06-20,100.58,100.59,100.58,100.58,95.02,3580700
2024-06-18,100.57,100.57,100.56,100.57,95.01,2972000
2024-06-17,100.54,100.54,100.53,100.54,94.98,3493700
2024-06-14,100.52,100.53,100.51,100.53,94.97,3505500
2024-06-13,100.48,100.49,100.47,100.48,94.93,3925700
2024-06-12,100.46,100.47,100.45,100.47,94.92,5355700
2024-06-11,100.45,100.45,100.44,100.45,94.90,3320000
2024-06-10,100.44,100.44,100.43,100.43,94.88,2732300
2024-06-07,100.42,100.42,100.41,100.41,94.86,3490400
2024-06-06,100.38,100.38,100.37,100.37,94.82,3376100
2024-06-05,100.36,100.37,100.36,100.37,94.82,4285300
2024-06-04,100.35,100.35,100.34,100.35,94.80,5355900
2024-06-03,100.33,100.34,100.33,100.33,94.78,9568200
2024-05-31,100.74,100.75,100.74,100.75,94.76,7082900
2024-05-30,100.71,100.72,100.71,100.71,94.73,3566800
2024-05-29,100.70,100.70,100.69,100.69,94.71,3971700
2024-05-28,100.68,100.69,100.68,100.69,94.71,3684600
2024-05-24,100.68,100.68,100.67,100.68,94.70,2512800
2024-05-23,100.66,100.67,100.66,100.67,94.69,3077800
2024-05-22,100.61,100.61,100.60,100.60,94.62,2609000
2024-05-21,100.59,100.60,100.59,100.59,94.61,3774900
2024-05-20,100.58,100.58,100.57,100.57,94.60,3341000
2024-05-17,100.57,100.57,100.56,100.56,94.59,4544200
2024-05-16,100.55,100.56,100.54,100.55,94.58,3699500
2024-05-15,100.50,100.51,100.50,100.50,94.53,4228600
2024-05-14,100.49,100.49,100.48,100.48,94.51,2765800
2024-05-13,100.48,100.48,100.47,100.48,94.51,3317000
2024-05-10,100.47,100.47,100.45,100.47,94.50,3005800
2024-05-09,100.44,100.45,100.44,100.44,94.47,2739600
2024-05-08,100.40,100.41,100.39,100.41,94.45,3109400
2024-05-07,100.39,100.39,100.38,100.38,94.42,3591500
2024-05-06,100.37,100.38,100.37,100.38,94.42,3623700
2024-05-03,100.36,100.37,100.35,100.37,94.41,4792400
2024-05-02,100.35,100.35,100.34,100.35,94.39,4369600
2024-05-01,100.31,100.31,100.30,100.31,94.35,8406600
2024-04-30,100.70,100.71,100.70,100.70,94.32,6488000
2024-04-29,100.70,100.70,100.69,100.69,94.31,2501900
2024-04-26,100.68,100.69,100.68,100.69,94.31,3008600
2024-04-25,100.67,100.67,100.66,100.67,94.29,2705900
2024-04-24,100.63,100.63,100.62,100.62,94.24,3200000
2024-04-23,100.61,100.62,100.60,100.61,94.23,4233300
2024-04-22,100.60,100.60,100.59,100.60,94.22,3547400
2024-04-19,100.59,100.59,100.57,100.59,94.21,3319500
2024-04-18,100.57,100.57,100.56,100.56,94.18,3235600
2024-04-17,100.53,100.53,100.52,100.53,94.16,3688400
2024-04-16,100.51,100.52,100.50,100.50,94.13,4850000
2024-04-15,100.49,100.50,100.49,100.50,94.13,4144700
2024-04-12,100.48,100.48,100.47,100.48,94.11,4235400
2024-04-11,100.46,100.47,100.46,100.47,94.10,3521100
2024-04-10,100.42,100.43,100.41,100.43,94.06,3893100
2024-04-09,100.41,100.41,100.40,100.41,94.04,3578500
2024-04-08,100.40,100.40,100.39,100.40,94.03,3511400
2024-04-05,100.39,100.39,100.38,100.38,94.02,3104200
2024-04-04,100.36,100.37,100.36,100.37,94.01,3427500
2024-04-03,100.32,100.33,100.32,100.32,93.96,4333600
2024-04-02,100.31,100.31,100.30,100.31,93.95,4202900
2024-04-01,100.30,100.30,100.29,100.29,93.93,7395400
2024-03-28,100.72,100.72,100.71,100.71,93.90,5425800
2024-03-27,100.71,100.71,100.70,100.70,93.89,2990800
2024-03-26,100.65,100.66,100.65,100.65,93.85,3181700
2024-03-25,100.64,100.65,100.64,100.64,93.84,2422900
2024-03-22,100.63,100.63,100.61,100.62,93.82,2636700
2024-03-21,100.60,100.61,100.60,100.60,93.80,3547400
2024-03-20,100.56,100.57,100.56,100.56,93.76,2492700
2024-03-19,100.56,100.56,100.55,100.55,93.75,2661900
2024-03-18,100.54,100.54,100.53,100.53,93.74,3576200
2024-03-15,100.52,100.52,100.51,100.52,93.73,3277300
2024-03-14,100.50,100.51,100.50,100.50,93.71,3469600
2024-03-13,100.46,100.47,100.46,100.46,93.67,2249300
2024-03-12,100.45,100.46,100.45,100.45,93.66,2613300
